"Time (UTC)","Endpoint","Method","Location","Response Status","Latency","API"
"2025-02-22 15:33:30","Get Recipe Information","GET","Philippines",200,"667ms","Recipe - Food - Nutrition"
"2025-02-23 22:21:33","Search Recipes","GET","Philippines",200,"669ms","Recipe - Food - Nutrition"
"2025-02-22 15:16:57","Get Recipe Information","GET","Philippines",200,"673ms","Recipe - Food - Nutrition"
"2025-02-21 02:50:37","Search Recipes","GET","Philippines",200,"674ms","Recipe - Food - Nutrition"
"2025-02-24 00:09:20","Search Recipes","GET","Philippines",200,"674ms","Recipe - Food - Nutrition"
"2025-02-23 23:05:43","Search Recipes","GET","Philippines",200,"675ms","Recipe - Food - Nutrition"
"2025-02-24 00:09:58","Search Recipes","GET","Philippines",200,"676ms","Recipe - Food - Nutrition"
"2025-02-23 22:36:12","Search Recipes","GET","Philippines",200,"694ms","Recipe - Food - Nutrition"
"2025-02-21 03:09:48","Search Recipes","GET","Philippines",200,"695ms","Recipe - Food - Nutrition"
"2025-02-24 00:05:23","Search Recipes","GET","Philippines",200,"700ms","Recipe - Food - Nutrition"
"2025-02-22 16:05:21","Get Recipe Information","GET","Philippines",200,"703ms","Recipe - Food - Nutrition"
"2025-02-22 16:06:25","/exercises/bodyPart/{bodyPart}","GET","Philippines",422,"712ms","ExerciseDB"
"2025-02-22 15:16:53","Get Recipe Information","GET","Philippines",200,"713ms","Recipe - Food - Nutrition"
"2025-02-22 15:19:24","Get Recipe Information","GET","Philippines",200,"715ms","Recipe - Food - Nutrition"
"2025-02-23 22:24:01","/exercises/bodyPart/{bodyPart}","GET","Australia",200,"723ms","ExerciseDB"
"2025-02-22 15:33:48","/exercises/bodyPart/{bodyPart}","GET","Philippines",422,"726ms","ExerciseDB"
"2025-02-22 16:23:07","Search Recipes","GET","United States",200,"726ms","Recipe - Food - Nutrition"
"2025-02-22 14:56:21","Search Recipes","GET","Philippines",200,"733ms","Recipe - Food - Nutrition"
"2025-02-22 14:15:29","/exercises/bodyPart/{bodyPart}","GET","Philippines",422,"743ms","ExerciseDB"
"2025-02-22 15:44:18","Search Recipes","GET","United States",200,"744ms","Recipe - Food - Nutrition"
"2025-02-22 14:17:11","/exercises/bodyPart/{bodyPart}","GET","Philippines",422,"751ms","ExerciseDB"
"2025-02-21 03:15:58","/exercises/bodyPart/{bodyPart}","GET","Philippines",422,"763ms","ExerciseDB"
"2025-02-21 03:11:08","/exercises/bodyPart/{bodyPart}","GET","Philippines",200,"777ms","ExerciseDB"
"2025-02-22 15:00:42","Search Recipes","GET","Philippines",200,"782ms","Recipe - Food - Nutrition"
"2025-02-21 03:16:53","/exercises/bodyPart/{bodyPart}","GET","Philippines",200,"796ms","ExerciseDB"
"2025-02-22 15:26:36","Search Recipes","GET","Philippines",200,"797ms","Recipe - Food - Nutrition"
"2025-02-22 14:16:19","/exercises/bodyPart/{bodyPart}","GET","Philippines",200,"801ms","ExerciseDB"
"2025-02-24 00:13:38","/exercises/bodyPart/{bodyPart}","GET","Philippines",422,"802ms","ExerciseDB"
"2025-02-22 13:21:26","/exercises/bodyPart/{bodyPart}","GET","Philippines",200,"803ms","ExerciseDB"
"2025-02-21 03:11:16","/exercises/bodyPart/{bodyPart}","GET","Philippines",200,"809ms","ExerciseDB"
